specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
3.77E+17,335,52000,340,188.5549,-1.706107,0.0920658,14.9351,10.72942
2.36E+18,2092,53460,59,168.2911,30.395,0.09334,15.81734,9.656823
8.08E+17,718,52206,256,331.4696,-9.230082,0.1516068,9.939564,10.69107
2.04E+18,1811,53533,417,215.0302,9.503106,0.1594978,6.040323,10.64244
2.40E+18,2134,53876,594,218.8154,28.26651,0.08985043,10.06845,10.45462
8.84E+17,785,52339,494,203.3079,61.61361,0.09222553,8.124222,10.22698
8.60E+17,764,52238,151,134.765,47.67121,0.05507128,21.52183,10.18504
2.59E+18,2296,53735,480,145.0858,24.38989,0.07078508,18.53576,10.36025
3.35E+18,2974,54592,207,260.3712,30.56324,0.1848659,11.26382,10.69007
2.84E+18,2525,54569,69,242.3767,10.92012,0.09681287,15.43349,10.00247
1.99E+18,1763,53463,501,179.5954,15.1773,0.06995946,10.82337,10.09274
2.52E+18,2238,54205,106,192.4371,26.88706,0.06138795,20.05358,9.592731
3.23E+17,287,52023,288,182.4774,-1.039869,0.05961111,11.26479,9.842732
5.85E+17,520,52288,36,189.0624,1.969388,0.1397666,23.05986,10.46427
1.77E+18,1569,53168,538,252.0979,21.81211,0.03123864,23.274,9.59977
2.51E+18,2225,53729,476,179.742,29.86234,0.1994304,4.208958,10.49728
2.35E+18,2087,53415,271,138.0192,25.86642,0.0764951,9.123181,9.419096
1.31E+18,1161,52703,187,216.5759,55.15725,0.07526017,12.86545,10.0675
2.92E+18,2594,54177,306,158.5416,14.90274,0.1373318,9.41373,10.41411
2.43E+18,2158,54209,581,230.7516,23.53261,0.1258746,9.289679,10.31329
2.28E+18,2021,53475,54,195.6715,39.14772,0.1117213,8.922028,10.60548
